"M1_BL","M1_MD","M2_BL","M2_MD","P4_BL","specimen_id","taxon","cusp_pattern","hypocone_size","cingulum","simulation","true_n_species"
16.1846979890438,15.9149131916432,17.8712390693536,15.9111069392614,10.6831406318913,"True_Species_001","Taxon_A","Y5","large","weak","SIM3",1
14.6957248297561,13.7581497025826,15.0323784435067,15.0610540274491,9.58496556476423,"True_Species_002","Taxon_A","Y4","large","weak","SIM3",1
15.1919259914676,14.0987128919971,15.5209237061643,14.678157957291,10.8345496456469,"True_Species_003","Taxon_A","Y4","large","absent","SIM3",1
15.6142727108733,13.2476229316811,16.0395942985433,15.7732002709524,11.1394863758448,"True_Species_004","Taxon_A","Y5","large","weak","SIM3",1
15.4481788646775,13.7792196677112,16.3646550917923,13.9246977113525,8.64352426135637,"True_Species_005","Taxon_A","Y5","medium","absent","SIM3",1
16.3632383088679,14.5681306723927,17.8512208519017,15.8565885303441,10.3186223658702,"True_Species_006","Taxon_A","Y4","large","strong","SIM3",1
17.4695395593125,16.416491283287,18.0133249842235,16.5410704716022,9.84686598544961,"True_Species_007","Taxon_A","Y5","large","weak","SIM3",1
14.5155850544912,12.7812080367505,16.7322728443959,15.5257861732217,9.98294581283701,"True_Species_008","Taxon_A","Plus5","large","absent","SIM3",1
14.7527591260519,13.4479983970004,15.4961442941649,15.1710465656644,9.88347679978866,"True_Species_009","Taxon_A","Y5","large","absent","SIM3",1
15.3155281113535,13.8286497432365,18.6224516237409,15.4874625042844,9.98372148080804,"True_Species_010","Taxon_A","Y5","medium","strong","SIM3",1
16.6726153948017,13.9958048476275,15.601137982421,16.114782871965,9.95563657805199,"True_Species_011","Taxon_A","Y4","small","absent","SIM3",1
14.818171663782,14.2300281958056,16.1119950328947,14.6150987017652,9.47842403530595,"True_Species_012","Taxon_A","Y5","medium","absent","SIM3",1
12.4654218079876,12.4129221416171,14.4140134553579,13.2211163683486,9.50399989872907,"True_Species_013","Taxon_A","Y5","large","absent","SIM3",1
11.9539295293242,12.4791051102384,11.9923622889769,11.7236069269832,8.33359779487606,"True_Species_014","Taxon_A","Y4","small","weak","SIM3",1
14.0672019464818,12.7026482270355,15.6474936267706,14.6007452878282,9.50517046003657,"True_Species_015","Taxon_A","Y5","large","weak","SIM3",1
13.923999325395,11.5119362832749,15.5342424985556,13.0577036599724,9.32399776305072,"True_Species_016","Taxon_A","Y4","large","weak","SIM3",1
14.3903008676662,14.3887454806742,17.7166344550652,15.9075674684175,10.931925401278,"True_Species_017","Taxon_A","Y5","medium","absent","SIM3",1
15.6772516679178,14.993638362235,17.4815425615666,14.9426155460348,9.79276052950361,"True_Species_018","Taxon_A","Y5","small","weak","SIM3",1
16.1128613530513,14.1853662827862,16.1948473122548,15.5760904980864,10.0385238318411,"True_Species_019","Taxon_A","Y4","large","weak","SIM3",1
14.208553234266,13.3067652774326,14.7162877104226,13.3306544568908,8.5116349162121,"True_Species_020","Taxon_A","Plus5","medium","weak","SIM3",1
15.4220222572318,14.0223130703473,16.646107756894,14.7619203066609,9.27728245930727,"True_Species_021","Taxon_B","Y4","medium","weak","SIM3",1
16.2949592924401,16.3564682692127,17.8365275971325,16.7025171061825,10.9972679836045,"True_Species_022","Taxon_B","Y5","medium","absent","SIM3",1
15.308516472417,13.5295683135284,16.0819182156354,15.3052918896985,10.6052416539602,"True_Species_023","Taxon_B","Y5","large","absent","SIM3",1
12.8074739226148,12.8931401083884,15.8312017845022,13.7031135917651,8.80356033145481,"True_Species_024","Taxon_B","Y5","medium","absent","SIM3",1
15.829783741133,14.797707747116,16.0997684492598,15.0369655823467,9.6588909632524,"True_Species_025","Taxon_B","Y4","medium","weak","SIM3",1
15.844630392166,14.0189659668681,16.565351580353,15.3269843803363,11.362252046575,"True_Species_026","Taxon_B","Y4","small","absent","SIM3",1
16.8128647845578,16.1139084234451,17.5327699064585,16.3019521469995,11.4999384493038,"True_Species_027","Taxon_B","Y4","large","weak","SIM3",1
14.5519574948308,14.5554757950515,14.9674023737883,13.9508742857238,10.653025026772,"True_Species_028","Taxon_B","Y5","large","strong","SIM3",1
15.1189287877079,14.3299104088827,15.0832350095356,14.770433561241,9.40141189085185,"True_Species_029","Taxon_B","Y5","medium","weak","SIM3",1
14.9106756180708,14.0120890513866,16.6669093094698,16.0444989274068,10.5704308561231,"True_Species_030","Taxon_B","Y4","medium","weak","SIM3",1
15.2683784061004,14.8059052871315,16.1631724565803,15.5803900997776,10.0513063150543,"True_Species_031","Taxon_B","Y4","large","strong","SIM3",1
13.9370030655185,12.5508520204561,14.8905306555317,13.9040662129013,8.33811079056235,"True_Species_032","Taxon_B","Y4","medium","weak","SIM3",1
15.9039382723262,15.0413507819292,16.1829367599726,15.9513551092964,10.3971731938682,"True_Species_033","Taxon_B","Y5","large","strong","SIM3",1
13.6828530090791,12.8790639531451,15.8422490637174,15.4183811862837,10.4835346426109,"True_Species_034","Taxon_B","Plus5","medium","weak","SIM3",1
14.5448471240757,13.5847611662963,15.967243001624,14.7670099044931,9.87020100470153,"True_Species_035","Taxon_B","Plus5","medium","strong","SIM3",1
14.2312855247909,13.5945723794419,16.9138086326055,16.1284685111243,9.64084458538783,"True_Species_036","Taxon_B","Y5","small","weak","SIM3",1
16.0916454088515,14.3315690965812,16.6267676088783,15.6544427099572,9.93318944550938,"True_Species_037","Taxon_B","Y5","medium","weak","SIM3",1
14.8281781332165,14.1126683332338,14.8009320484924,14.6007579334657,10.0824143117556,"True_Species_038","Taxon_B","Y5","large","strong","SIM3",1
14.0745279902486,13.6217875874576,16.2569249554307,15.8857843633661,10.8096298121719,"True_Species_039","Taxon_B","Plus5","large","weak","SIM3",1
13.5422375640862,13.428968771244,16.3252497609036,14.5184694728907,9.09828095719719,"True_Species_040","Taxon_B","Y5","large","weak","SIM3",1
15.0543944774699,14.513131978854,17.4794060409122,14.9904956061495,11.1447752113075,"True_Species_041","Taxon_C","Plus5","medium","absent","SIM3",1
16.0494887193199,15.0826507476358,17.1963272214292,15.6465242492361,10.4423555840422,"True_Species_042","Taxon_C","Y5","medium","absent","SIM3",1
13.5892839406085,13.0486113277039,13.5657008849973,14.7536152937389,8.81075675882822,"True_Species_043","Taxon_C","Y4","small","weak","SIM3",1
13.0802310866611,13.9910740200254,14.4816624929922,13.6359668279433,8.9374009458476,"True_Species_044","Taxon_C","Y5","large","weak","SIM3",1
15.6240669312511,14.8889331504285,14.9336520976921,15.735046836723,9.32254575707104,"True_Species_045","Taxon_C","Y5","medium","weak","SIM3",1
15.6319010729719,13.8203091309052,18.0009032919432,14.9628347324085,10.6886788606184,"True_Species_046","Taxon_C","Y5","large","weak","SIM3",1
14.7466332842313,14.0435435594226,16.6269178345536,14.3875779877046,10.6556320311587,"True_Species_047","Taxon_C","Y5","medium","strong","SIM3",1
16.8461867182206,15.2679749084811,17.7646998083561,16.0922436817429,10.0340397004499,"True_Species_048","Taxon_C","Y4","large","weak","SIM3",1
12.443331662635,10.8662050152988,12.6343777854559,11.877601065904,7.46081872745193,"True_Species_049","Taxon_C","Y5","medium","absent","SIM3",1
16.4070659541654,16.9266307944013,17.7429120915297,16.5653078860244,10.9394612491937,"True_Species_050","Taxon_C","Y5","medium","weak","SIM3",1
11.301382904948,11.994316035367,12.2855870072879,13.154262567973,8.33362078891219,"True_Species_051","Taxon_C","Y5","medium","weak","SIM3",1
16.789349324029,14.7110140895529,17.4448098078942,16.8050091087456,10.7288062177845,"True_Species_052","Taxon_C","Y4","large","weak","SIM3",1
15.6708197126659,13.8383295711599,16.3776448030227,15.0370965780525,9.6012179203071,"True_Species_053","Taxon_C","Y5","large","strong","SIM3",1
16.2041622763931,15.7330001282489,18.1034523476085,17.1158406734863,11.5810370069062,"True_Species_054","Taxon_C","Y5","large","weak","SIM3",1
15.0056784374238,14.1499462121827,15.2329683702328,15.6585889100992,10.4742775996135,"True_Species_055","Taxon_C","Y5","large","strong","SIM3",1
13.3504759182987,12.53382507531,14.76495526153,13.4874068269854,9.72171151597527,"True_Species_056","Taxon_C","Y5","medium","strong","SIM3",1
15.1115578715603,13.4996778674758,15.5942752549282,14.4523615485127,8.97120287974612,"True_Species_057","Taxon_C","Y4","medium","weak","SIM3",1
14.3325170696623,13.8510092484621,15.4741130008422,15.5699566719286,9.60587082800366,"True_Species_058","Taxon_C","Y5","medium","weak","SIM3",1
13.0420456034473,12.0714010756847,14.7410573333496,13.9618989250455,9.04799491861761,"True_Species_059","Taxon_C","Plus5","large","strong","SIM3",1
15.8681984861281,14.4793344904155,16.5986673944518,16.8571988290619,10.0657200470079,"True_Species_060","Taxon_C","Y5","medium","weak","SIM3",1
