"M1_BL","M1_MD","M2_BL","M2_MD","P4_BL","specimen_id","taxon","cusp_pattern","hypocone_size","cingulum","simulation","true_n_species"
15.8976466265625,15.4205768554836,16.1243303792512,15.7866516608033,10.7028445130412,"Species_A_001","Species_A","Y5","large","weak","SIM2",3
17.0403884300849,15.0834490040737,16.852197471434,16.5568785265263,11.9591790278236,"Species_A_002","Species_A","Plus5","medium","weak","SIM2",3
15.226389816465,14.0745517476855,15.4321232434018,14.2943833511374,10.4331012524537,"Species_A_003","Species_A","Y5","large","weak","SIM2",3
15.6542121000657,13.9375274272392,16.7356075171088,14.790549715172,10.2778635951902,"Species_A_004","Species_A","Plus5","large","weak","SIM2",3
15.6932974613194,15.226636065343,16.6895705792754,15.7546863962329,10.5049264175188,"Species_A_005","Species_A","Y5","large","absent","SIM2",3
16.0329406454868,15.2220662472625,16.931906464823,16.4519453326407,12.0466043607007,"Species_A_006","Species_A","Y5","large","weak","SIM2",3
17.7679683089542,16.5482552385563,18.2391544006575,17.199933285814,11.2857768893992,"Species_A_007","Species_A","Y4","large","weak","SIM2",3
15.3216518584648,14.3447594951331,17.0762430464756,15.1708551009212,11.3642040031921,"Species_A_008","Species_A","Y5","small","absent","SIM2",3
16.081494846855,14.2875069739816,16.2188090125744,15.6086735367883,11.5551244777211,"Species_A_009","Species_A","Y5","medium","strong","SIM2",3
15.5341126305507,15.4092350581816,16.5264824163838,15.7827285916665,11.0768840025203,"Species_A_010","Species_A","Y5","medium","weak","SIM2",3
16.2625597924679,14.972360735537,17.0323670197081,15.6837796708875,11.4769181752343,"Species_A_011","Species_A","Y5","medium","weak","SIM2",3
15.7655545958825,14.4990905553332,16.5785194248922,16.1116595422316,10.3668325468931,"Species_A_012","Species_A","Y5","large","absent","SIM2",3
15.8432132380642,14.3504155791364,17.051143728496,15.7148403700231,11.0457281875463,"Species_A_013","Species_A","Y5","medium","strong","SIM2",3
17.223483041204,15.1934788963182,17.1610946576,15.7828573921244,11.5461926698925,"Species_A_014","Species_A","Y5","large","strong","SIM2",3
15.6424965206292,14.4002328457491,16.4803133613249,15.831606224725,10.7532429092605,"Species_A_015","Species_A","Y5","small","absent","SIM2",3
16.7651529562676,15.6775610285955,17.8721156009815,15.7016955192222,11.2327542877719,"Species_A_016","Species_A","Y5","large","weak","SIM2",3
16.3321682716477,14.6266832109224,16.3349778949657,14.8193631758883,11.4007517364082,"Species_A_017","Species_A","Y5","medium","weak","SIM2",3
16.8562879775597,15.5247532094738,16.6394252721816,16.2735631878864,11.6249878499796,"Species_A_018","Species_A","Y5","large","absent","SIM2",3
17.2396606557432,15.350683032516,17.3464787243061,15.1276395203341,11.0175256128825,"Species_A_019","Species_A","Y5","large","weak","SIM2",3
16.9032728306273,15.4864126050452,16.5693125009119,16.2078324237889,11.9159828246845,"Species_A_020","Species_A","Plus5","large","absent","SIM2",3
14.4117654490595,13.0343458044213,15.9930478955368,13.9641587189968,9.39474762793166,"Species_B_001","Species_B","Y5","small","absent","SIM2",3
15.8963542453418,13.392359046862,15.6443213492569,14.954852775291,11.2295563680102,"Species_B_002","Species_B","Y4","small","strong","SIM2",3
14.9448659285905,13.7760776417709,15.5944874052838,14.4863152705395,10.2059036866764,"Species_B_003","Species_B","Y4","medium","absent","SIM2",3
15.8461155479609,14.0814188403053,16.6086467247502,15.7116082906512,10.1431140441348,"Species_B_004","Species_B","Y4","medium","weak","SIM2",3
15.2882304367403,13.9603396929835,16.045306762248,14.86394754965,8.76993369897942,"Species_B_005","Species_B","Y4","medium","weak","SIM2",3
15.4366694289947,13.8399735223175,15.6605021123195,13.8666938420708,9.63715199165225,"Species_B_006","Species_B","Y4","medium","weak","SIM2",3
15.5975770356081,14.1512896864497,15.1786492142252,14.5499279154563,10.482453110118,"Species_B_007","Species_B","Y5","small","absent","SIM2",3
15.7435143299457,14.6309913666017,15.5727785461914,15.0244546541046,10.1037691782506,"Species_B_008","Species_B","Y5","small","weak","SIM2",3
14.7790170437235,13.602668760751,14.7508943962322,14.5897285120268,10.710880362661,"Species_B_009","Species_B","Y4","large","absent","SIM2",3
16.1898589962475,14.4842686957538,16.9194152590382,15.855878199889,10.7098566638369,"Species_B_010","Species_B","Y5","medium","strong","SIM2",3
15.3929825170939,13.2746631106921,14.7076389561774,13.6583890326567,9.47292234293562,"Species_B_011","Species_B","Y5","large","weak","SIM2",3
13.9524882846275,13.1991986824514,14.076167101201,14.0403125676929,9.45133047419808,"Species_B_012","Species_B","Y5","large","weak","SIM2",3
15.724482804447,14.3283373829989,16.2158285652585,15.7334632004304,8.83954232819963,"Species_B_013","Species_B","Y5","medium","strong","SIM2",3
14.6711144429628,13.7365989495158,15.2205360034845,15.0258258545544,9.63067896322423,"Species_B_014","Species_B","Y5","medium","weak","SIM2",3
15.9377865361498,14.0986297465307,15.7470062847687,14.199741202602,9.81108194261478,"Species_B_015","Species_B","Y4","medium","weak","SIM2",3
14.3406909171021,13.3661915046788,14.4867746290653,14.6525203192097,9.86374966292951,"Species_B_016","Species_B","Y4","medium","absent","SIM2",3
15.6956562826744,14.523972459454,15.7669670370923,16.4670401491086,10.4376755602234,"Species_B_017","Species_B","Y4","small","absent","SIM2",3
13.9038464164087,12.2541690851248,14.4489283827908,13.4034997859872,9.55080694464776,"Species_B_018","Species_B","Y4","small","weak","SIM2",3
14.5553518846028,13.2198792572771,14.556521612677,13.8515685665677,10.1378511428894,"Species_B_019","Species_B","Y5","large","absent","SIM2",3
